margalef	region
1.442538781	C
2.108325911	C
1.33157426	C
1.109645216	C
1.553503303	C
1.664467825	C
1.997361389	D
1.886396868	D
1.664467825	D
1.553503303	D
1.553503303	D
1.886396868	D
1.664467825	D
2.108325911	D
1.775432346	D
1.33157426	E
1.33157426	E
1.109645216	E
1.553503303	E
1.33157426	E
1.442538781	E
1.33157426	E
1.33157426	F
1.775432346	F
1.442538781	F
0.998680695	F
1.442538781	G
1.442538781	G
1.775432346	G
1.220609738	G
1.553503303	A
1.886396868	A
1.442538781	A
