margalef	region
13.98152973	C
18.30914607	C
13.42670712	C
7.43462295	C
9.210055296	C
14.75828138	C
14.09249425	D
18.53107511	D
16.08985564	D
9.431984339	D
10.7635586	D
15.86792659	D
14.53635233	D
18.08721703	D
19.64072033	D
11.42934573	E
8.988126253	E
9.431984339	E
9.210055296	E
7.989445558	E
8.322339123	E
13.53767164	E
7.43462295	F
7.212693906	F
5.992084168	F
7.656551993	F
12.3170619	G
6.990764863	G
8.211374601	G
7.323658428	G
5.659190603	A
7.545587471	A
5.881119647	A
	
	
	
	
	
	
	
	
